no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,class_no,class_nm,loan_count,sales_point,price,page_count,review_count,average_rating,최다연령대_여성,최다연령대_남성,성비_여성,20~30대_남성,20~30대_여성,분류,대출수준,단행/시리즈,중분류,소분류,data,키워드
431,431,해리포터 :마법사의 돌,J.K. 롤링 지음 ;강동혁 옮김,문학수첩,2019,9788983927620,A04840,843.5,문학 > 영미문학 > 소설,881.75,10256,8100,268.0,4.0,9.3,40.0,40.0,0.8,4.8,22.0,판타지/환상문학,하위권,시리즈, 영미문학 , 소설,"해리포터 :마법사의 돌,9788983927620","[""판타지"", ""마법"", ""모험"", ""우정"", ""성장""]"
432,432,빵도둑과 수상한 프랑스빵,시바타 케이코 글·그림 ;황진희 옮김,길벗어린이,2023,9788955827019,A74800,833.6,문학 > 일본문학 > 소설,1383.0,1870,12600,40.0,18.0,9.8,40.0,40.0,0.9,4.5,37.6,그림책,하위권,단행본, 일본문학 , 소설,"빵도둑과 수상한 프랑스빵,9788955827019","[""동화"", ""도둑"", ""빵"", ""우정"", ""모험""]"
433,433,당신을 기다리고 있어 :김보영 장편소설,지은이: 김보영,파란미디어,2020,9788963717562,A04810,813.7,문학 > 한국문학 > 소설,1493.0,7666,9000,143.0,8.0,9.4,20.0,40.0,0.9,5.5,61.1,과학소설(SF),하위권,단행본, 한국문학 , 소설,"당신을 기다리고 있어 :김보영 장편소설,9788963717562","[""성장"", ""관계"", ""고민"", ""용기"", ""이별""]"
435,435,클라라와 태양 :가즈오 이시구로 장편소설,지은이: 가즈오 이시구로 ;옮긴이: 홍한별,민음사,2021,9788937417566,A03840,843.5,문학 > 영미문학 > 소설,847.0,14732,15300,448.0,79.0,9.0,40.0,40.0,0.8,8.8,30.5,영미소설,하위권,단행본, 영미문학 , 소설,"클라라와 태양 :가즈오 이시구로 장편소설,9788937417566","[""SF"", ""사랑"", ""우정"", ""인공지능"", ""성장""]"
436,435,낭만적 연애와 그 후의 일상 :알랭 드 보통 장편소설,지은이: 알랭 드 보통 ;옮긴이: 김한영,은행나무,2016,9788956608846,A03840,843.5,문학 > 영미문학 > 소설,847.0,7517,15300,300.0,74.0,7.8,30.0,30.0,0.7,19.9,51.7,영미소설,하위권,단행본, 영미문학 , 소설,"낭만적 연애와 그 후의 일상 :알랭 드 보통 장편소설,9788956608846","[""연애"", ""일상"", ""성장"", ""사랑"", ""관계""]"
437,435,케이크가 커졌어요!,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2021,9791158362515,A77830,833.6,문학 > 일본문학 > 소설,2221.0,2953,10800,40.0,11.0,9.9,40.0,40.0,0.9,3.6,42.2,그림책,하위권,시리즈, 일본문학 , 소설,"케이크가 커졌어요!,9791158362515","[""성장"", ""관계"", ""변화""]"
439,439,노르웨이의 숲 =Noruuei no mori,지은이: 무라카미 하루키 ;옮긴이: 양억관,민음사,2013,9788937463105,A04800,833.6,문학 > 일본문학 > 소설,1548.0,11507,12600,508.0,44.0,8.4,20.0,20.0,0.6,21.5,37.5,일본소설,하위권,시리즈, 일본문학 , 소설,"노르웨이의 숲 =Noruuei no mori,9788937463105","[""성장"", ""사랑"", ""청춘"", ""관계"", ""상실""]"
440,440,사서함 110호의 우편물 :이도우 장편소설,지은이: 이도우,시공사,2016,9788952782076,A04810,813.7,문학 > 한국문학 > 소설,827.0,14945,11700,480.0,33.0,8.8,20.0,20.0,0.8,9.0,53.3,로맨스소설,하위권,단행본, 한국문학 , 소설,"사서함 110호의 우편물 :이도우 장편소설,9788952782076","[""성장"", ""관계"", ""가족"", ""상실"", ""희망""]"
441,440,꽁꽁꽁,윤정주 글·그림,책읽는곰,2016,9791158360276,A77810,813.7,문학 > 한국문학 > 소설,1618.0,4891,10800,44.0,17.0,9.2,30.0,40.0,0.9,3.9,47.6,그림책,하위권,시리즈, 한국문학 , 소설,"꽁꽁꽁,9791158360276","[""현대"", ""사랑"", ""성장"", ""일상"", ""관계""]"
442,442,매듭의 끝 :정해연 장편소설,지은이: 정해연,현대문학,2025,9791167903068,A03810,813.7,문학 > 한국문학 > 소설,844.0,7959,15120,312.0,30.0,9.5,40.0,40.0,0.8,3.9,38.1,추리/미스터리소설,하위권,단행본, 한국문학 , 소설,"매듭의 끝 :정해연 장편소설,9791167903068","[""드라마"", ""복수"", ""가족"", ""사랑"", ""상처""]"
443,443,으라차차 라면 가게,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2022,9791158363475,A77830,833.6,문학 > 일본문학 > 소설,2237.0,3076,11700,40.0,13.0,10.0,40.0,40.0,0.9,2.7,35.5,그림책,하위권,시리즈, 일본문학 , 소설,"으라차차 라면 가게,9791158363475","[""성장"", ""일상"", ""따뜻함"", ""꿈"", ""가게""]"
447,446,원도 :최진영 장편소설,지은이: 최진영,한겨레엔,2024,9791172130374,A03810,813.7,문학 > 한국문학 > 소설,839.0,3929,13500,248.0,37.0,9.1,30.0,30.0,0.8,7.899999999999999,45.1,한국소설,하위권,단행본, 한국문학 , 소설,"원도 :최진영 장편소설,9791172130374","[""성장"", ""우정"", ""청춘"", ""변화"", ""성찰""]"
448,448,직업으로서의 소설가 :무라카미 하루키 자전적 에세이,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,현대문학,2016,9788972757719,A03830,834.0,문학 > 일본문학 > 수필,838.0,18108,15120,336.0,114.0,8.8,30.0,30.0,0.7,19.3,41.0,외국에세이,하위권,단행본, 일본문학 , 수필,"직업으로서의 소설가 :무라카미 하루키 자전적 에세이,9788972757719","[""자전"", ""창작"", ""글쓰기"", ""영감"", ""상상""]"
450,450,므레모사 :김초엽 소설,지은이: 김초엽,현대문학,2021,9791167900821,A04810,813.7,문학 > 한국문학 > 소설,837.0,4741,12600,204.0,27.0,8.3,20.0,20.0,0.8,10.5,54.1,호러.공포소설,하위권,단행본, 한국문학 , 소설,"므레모사 :김초엽 소설,9791167900821","[""SF"", ""상상"", ""존재"", ""감정"", ""관계""]"
452,452,(전설의 모험왕) 엉덩이 댄디 :the young,원작·감수: 트롤 ;옮긴이: 김정화,미래엔,2021,9791164137503,A77830,830.0,문학 > 일본문학 > 일본문학,749.0,1380,10800,96.0,28.0,5.0,40.0,40.0,0.8,3.0,25.9,동화/명작/고전,하위권,시리즈, 일본문학 , 일본문학,"(전설의 모험왕) 엉덩이 댄디 :the young,9791164137503","[""모험"", ""해적"", ""성장""]"
453,453,한강,지은이: 한강,문학동네,2023,9788954693462,A03810,810.81,문학 > 한국문학 > 한국문학,835.0,55297,15300,364.0,16.0,9.5,40.0,50.0,0.7,5.7,20.5,한국소설,하위권,단행본, 한국문학 , 한국문학,"한강,9788954693462","[""비극"", ""사랑"", ""희생"", ""관계""]"
454,454,여덟 단어 :인생을 대하는 우리의 자세,박웅현 지음,북하우스 퍼블리셔스,2013,9788956056531,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,834.0,32205,13500,240.0,172.0,8.8,40.0,40.0,0.7,12.1,39.1,교양 인문학,하위권,단행본, 한국문학 , 르포르타주 및 기타,"여덟 단어 :인생을 대하는 우리의 자세,9788956056531","[""자기계발"", ""성찰"", ""인생"", ""자세"", ""관계""]"
455,455,얼음산 빙수 가게 :정현진 그림책,글 그림: 정현진,올리,2024,9791165349745,A77810,813.7,문학 > 한국문학 > 소설,832.0,3235,12600,52.0,46.0,10.0,40.0,40.0,0.9,3.1,27.1,그림책,하위권,단행본, 한국문학 , 소설,"얼음산 빙수 가게 :정현진 그림책,9791165349745","[""빙수"", ""얼음"", ""여름"", ""시원함"", ""달콤함""]"
458,458,"욕심은 그만, 레이스 장갑! :유설화 그림책",유설화,책읽는곰,2022,9791158363154,A77810,813.7,문학 > 한국문학 > 소설,1545.0,2102,12600,40.0,4.0,9.7,40.0,40.0,0.9,2.2,32.1,그림책,하위권,시리즈, 한국문학 , 소설,"욕심은 그만, 레이스 장갑! :유설화 그림책,9791158363154","[""그림책"", ""욕심"", ""레이스"", ""장갑""]"
459,458,소문 :오기와라 히로시 장편소설,지은이: 오기와라 히로시 ;옮긴이: 권일영,바이포엠,2021,9791191043419,A03830,833.6,문학 > 일본문학 > 소설,829.0,10093,14850,528.0,30.0,7.8,20.0,20.0,0.7,21.8,36.8,추리/미스터리소설,하위권,단행본, 일본문학 , 소설,"소문 :오기와라 히로시 장편소설,9791191043419","[""성장"", ""청춘"", ""우정"", ""여행""]"
460,460,내 여자의 열매 :한강 소설집,지은이: 한강,문학과지성사,2018,9788932034829,A03810,813.62,문학 > 한국문학 > 소설,828.0,27355,12600,406.0,10.0,8.5,40.0,50.0,0.7,6.1,23.7,한국소설,하위권,단행본, 한국문학 , 소설,"내 여자의 열매 :한강 소설집,9788932034829","[""성장"", ""여성"", ""관계"", ""성장통""]"
461,460,듄,지은이: 프랭크 허버트 ;옮긴이: 김승욱,황금가지,2021,9791158887544,A04840,843.5,문학 > 영미문학 > 소설,828.0,8033,27000,944.0,32.0,9.2,40.0,40.0,0.7,18.0,37.0,과학소설(SF),하위권,시리즈, 영미문학 , 소설,"듄,9791158887544","[""판타지"", ""모험"", ""여정"", ""용사"", ""마법""]"
462,462,별에게 :안녕달 그림책,지은이: 안녕달,창비,2025,9788936429430,A77810,813.7,문학 > 한국문학 > 소설,827.0,23106,15120,64.0,77.0,10.0,40.0,40.0,0.9,2.8,24.1,그림책,하위권,단행본, 한국문학 , 소설,"별에게 :안녕달 그림책,9788936429430","[""동화"", ""우정"", ""성장"", ""위로"", ""상상""]"
463,462,소란한 속삭임 :마치 큰 비밀이라도 되는 양,지은이: 예소연,위즈덤하우스,2025,9791171717316,A04810,813.7,문학 > 한국문학 > 소설,827.0,6213,11700,120.0,9.0,9.0,30.0,40.0,0.8,5.3,41.1,한국소설,하위권,단행본, 한국문학 , 소설,"소란한 속삭임 :마치 큰 비밀이라도 되는 양,9791171717316","[""현대"", ""관계"", ""성장"", ""비밀""]"
464,464,달 샤베트,지은이: 백희나,책읽는곰,2014,9791185564074,A77810,813.7,문학 > 한국문학 > 소설,1555.0,12180,10800,32.0,21.0,9.8,30.0,40.0,0.9,4.6,47.3,그림책,하위권,시리즈, 한국문학 , 소설,"달 샤베트,9791185564074","[""판타지"", ""시간"", ""기억"", ""사랑""]"
465,465,백야행 :하얀 어둠 속을 걷다,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2016,9788990982612,A03830,833.6,문학 > 일본문학 > 소설,713.5,5474,17820,592.0,23.0,8.8,20.0,20.0,0.6,27.5,35.9,추리/미스터리소설,하위권,시리즈, 일본문학 , 소설,"백야행 :하얀 어둠 속을 걷다,9788990982612","[""추리"", ""사랑"", ""배신"", ""비극""]"
466,466,연수 :장류진 소설집,지은이: 장류진,창비,2023,9788936439170,A03810,813.7,문학 > 한국문학 > 소설,822.0,4334,15120,336.0,39.0,9.5,30.0,40.0,0.8,9.2,38.4,한국소설,하위권,단행본, 한국문학 , 소설,"연수 :장류진 소설집,9788936439170","[""성장"", ""현실"", ""인간관계"", ""상실"", ""청춘""]"
467,466,하얼빈 :김훈 장편소설,지은이: 김훈,문학동네,2022,9788954699914,A03810,813.62,문학 > 한국문학 > 소설,822.0,33560,14400,308.0,101.0,8.6,40.0,50.0,0.6,10.9,14.4,역사소설,하위권,단행본, 한국문학 , 소설,"하얼빈 :김훈 장편소설,9788954699914","[""역사"", ""전쟁"", ""생존"", ""고향"", ""이별""]"
468,468,오만과 편견,지은이: 제인 오스틴 ;전승희,민음사,2021,9788937460883,A04800,843.4,문학 > 영미문학 > 소설,1513.0,72014,11700,560.0,178.0,9.0,20.0,40.0,0.8,12.7,42.6,영미소설,하위권,시리즈, 영미문학 , 소설,"오만과 편견,9788937460883","[""로맨스"", ""사랑"", ""사회"", ""계급"", ""가족""]"
469,468,우리가 반짝이는 계절 :장류진 에세이,지은이: 장류진,밀리의 서재,2025,9791169084307,A03810,814.7,문학 > 한국문학 > 수필,821.0,7942,17820,416.0,12.0,8.6,40.0,40.0,0.8,7.0,31.4,한국에세이,하위권,단행본, 한국문학 , 수필,"우리가 반짝이는 계절 :장류진 에세이,9791169084307","[""일상"", ""성장"", ""관계"", ""공감"", ""사색""]"
470,468,로맨스 도파민,"지은이: 최영원,우재윤",안전가옥,2024,9791193024652,A03810,813.7,문학 > 한국문학 > 소설,821.0,3839,14400,318.0,3.0,8.4,20.0,20.0,0.9,5.0,68.5,로맨스소설,하위권,단행본, 한국문학 , 소설,"로맨스 도파민,9791193024652","[""로맨스"", ""도파민"", ""감정"", ""관계"", ""사랑""]"
471,471,너무 시끄러운 고독 :보후밀 흐라발 장편소설,지은이: 보후밀 흐라발 ;옮긴이: 이창실,문학동네,2016,9788954641548,A03890,892.96,문학 > 기타 제문학 > 인도-유럽계문학,818.0,33634,10800,144.0,100.0,8.8,30.0,30.0,0.8,10.0,43.0,세계의 소설,하위권,단행본, 기타 제문학 , 인도-유럽계문학,"너무 시끄러운 고독 :보후밀 흐라발 장편소설,9788954641548","[""체코"", ""농촌"", ""감성"", ""일상"", ""사랑""]"
472,471,눈먼 자들의 도시,주제 사라마구 지음;정영목 옮김,해냄출판사,2002,9788973374939,A03890,879.0,문학 > 스페인문학 > 포르투갈문학,818.0,6166,16920,476.0,32.0,9.4,40.0,20.0,0.6,18.9,17.1,세계의 소설,하위권,단행본, 스페인문학 , 포르투갈문학,"눈먼 자들의 도시,9788973374939","[""전염병"", ""고립"", ""인간"", ""사회"", ""절망""]"
473,471,다판다 편의점,강효미 글 ;밤코 그림,다산북스,2025,9791130662985,A74810,813.7,문학 > 한국문학 > 소설,803.5,8802,12600,92.0,85.0,10.0,40.0,40.0,0.9,1.9,20.5,동화/명작/고전,하위권,시리즈, 한국문학 , 소설,"다판다 편의점,9791130662985","[""청소년"", ""성장"", ""판타지"", ""모험"", ""우정""]"
475,475,우중괴담 :미쓰다 신조 소설,지은이: 미쓰다 신조 ;옮긴이: 현정수,더난콘텐츠그룹,2022,9791158791971,A03830,833.6,문학 > 일본문학 > 소설,816.0,6753,15120,416.0,34.0,9.2,30.0,20.0,0.6,27.6,32.2,추리/미스터리소설,하위권,단행본, 일본문학 , 소설,"우중괴담 :미쓰다 신조 소설,9791158791971","[""미스터리"", ""심령"", ""공포"", ""괴담"", ""도시""]"
476,476,토지 :박경리 대하소설,지은이: 박경리,마로니에북스,2012,9788960532410,A04810,813.6,문학 > 한국문학 > 소설,615.6666666666666,5822,12150,440.0,26.0,9.3,40.0,40.0,0.7,12.9,33.4,역사소설,하위권,시리즈, 한국문학 , 소설,"토지 :박경리 대하소설,9788960532410","[""대하"", ""역사"", ""삶"", ""가족"", ""인생""]"
478,477,강아지똥,글: 권정생 ;그림: 정승각,길벗어린이,2012,9788986621136,A77810,813.6,문학 > 한국문학 > 소설,982.0,72959,12600,30.0,356.0,9.5,30.0,30.0,0.8,11.5,66.6,그림책,하위권,단행본, 한국문학 , 소설,"강아지똥,9788986621136","[""성장"", ""자존감"", ""다름"", ""사랑"", ""우정""]"
480,479,하트방구 :윤식이 그림책,윤식이 지음,소원나무,2023,9791193207178,A74810,813.7,문학 > 한국문학 > 소설,1238.0,1375,13500,48.0,10.0,9.9,40.0,40.0,0.9,1.7,34.7,그림책,하위권,단행본, 한국문학 , 소설,"하트방구 :윤식이 그림책,9791193207178","[""방귀"", ""웃음"", ""용기"", ""우정"", ""변신""]"
481,481,옥상에서 만나요 :정세랑 소설집,지은이: 정세랑,창비,2018,9788936437534,A03810,813.7,문학 > 한국문학 > 소설,810.0,7163,13500,280.0,116.0,8.9,20.0,30.0,0.9,6.6,62.3,한국소설,하위권,단행본, 한국문학 , 소설,"옥상에서 만나요 :정세랑 소설집,9788936437534","[""일상"", ""성장"", ""연대"", ""위로""]"
482,481,수영장 가는 날 =염혜원 그림책 /Saturday is swimming day,글·그림: 염혜원,창비,2018,9788936455286,A77840,813.7,문학 > 한국문학 > 소설,810.0,1962,14400,48.0,14.0,9.9,30.0,40.0,0.9,3.5,46.7,그림책,하위권,단행본, 한국문학 , 소설,"수영장 가는 날 =염혜원 그림책 /Saturday is swimming day,9788936455286","[""물놀이"", ""주말"", ""아이"", ""가족"", ""기대""]"
483,481,설국,가와바타 야스나리 지음;유숙자 옮김,민음사,2002,9788937460616,A04830,833.6,문학 > 일본문학 > 소설,1441.0,52990,7200,176.0,175.0,8.2,20.0,20.0,0.6,22.1,33.599999999999994,일본소설,하위권,시리즈, 일본문학 , 소설,"설국,9788937460616","[""이별"", ""설원"", ""순수"", ""정체성""]"
486,485,빵도둑 꼬마 주먹밥 길을 떠나다,시바타 케이코 글·그림 ;황진희 옮김,길벗어린이,2024,9788955827613,A74800,833.6,문학 > 일본문학 > 소설,1250.0,1938,12600,40.0,25.0,10.0,40.0,30.0,0.9,4.6,38.2,그림책,하위권,단행본, 일본문학 , 소설,"빵도둑 꼬마 주먹밥 길을 떠나다,9788955827613","[""모험"", ""주먹밥"", ""용기"", ""친구"", ""도둑""]"
489,488,쌀알 돌알 :벼레 그림책,글·그림: 벼레,사계절출판사,2023,9791169811576,A77810,813.7,문학 > 한국문학 > 소설,807.0,790,12600,52.0,5.0,10.0,40.0,40.0,0.9,2.3,29.7,그림책,하위권,단행본, 한국문학 , 소설,"쌀알 돌알 :벼레 그림책,9791169811576","[""그림책"", ""벼레"", ""쌀알""]"
491,488,십계 :유키 하루오 장편소설,지은이: 유키 하루오 ;옮긴이: 김은모,블루홀식스,2024,9791193149232,A03830,833.6,문학 > 일본문학 > 소설,807.0,6406,15120,344.0,33.0,8.7,40.0,40.0,0.5,22.5,18.1,추리/미스터리소설,하위권,단행본, 일본문학 , 소설,"십계 :유키 하루오 장편소설,9791193149232","[""역사"", ""전쟁"", ""가족"", ""고독"", ""사랑""]"
492,492,귀신나방 =장용민 장편소설 /Ghost moth,지은이: 장용민,문학동네,2018,9788954652841,A03810,813.62,문학 > 한국문학 > 소설,805.0,1585,13050,408.0,29.0,8.6,30.0,40.0,0.8,10.1,52.0,한국소설,하위권,단행본, 한국문학 , 소설,"귀신나방 =장용민 장편소설 /Ghost moth,9788954652841","[""호러"", ""초현실"", ""공포"", ""악몽"", ""미스터리""]"
493,492,일인칭 단수 :무라카미 하루키 소설,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2020,9788954675987,A03830,833.6,문학 > 일본문학 > 소설,805.0,15220,13050,236.0,55.0,8.0,30.0,40.0,0.7,16.299999999999997,34.5,일본소설,하위권,단행본, 일본문학 , 소설,"일인칭 단수 :무라카미 하루키 소설,9788954675987","[""성장"", ""사랑"", ""청춘"", ""성찰"", ""여름""]"
496,496,"혐오의 즐거움에 관하여 :거장의 재발견, 윌리엄 해즐릿 국내 첫 에세이집",지은이: 윌리엄 해즐릿 ;옮긴이: 공진호,아티초크,2024,9791186643204,A03800,844.0,문학 > 영미문학 > 수필,803.0,19479,15030,200.0,29.0,9.8,30.0,30.0,0.7,14.7,44.7,인문 에세이,하위권,단행본, 영미문학 , 수필,"혐오의 즐거움에 관하여 :거장의 재발견, 윌리엄 해즐릿 국내 첫 에세이집,9791186643204","[""인간"", ""감정"", ""사회"", ""비판"", ""성찰""]"
497,497,블랙 쇼맨과 환상의 여자,지은이: 히가시노 게이고 ;옮긴이: 최고은,알에이치코리아,2023,9788925576633,A03830,833.6,문학 > 일본문학 > 소설,802.0,3229,16200,232.0,63.0,8.6,40.0,40.0,0.6,17.4,26.1,추리/미스터리소설,하위권,단행본, 일본문학 , 소설,"블랙 쇼맨과 환상의 여자,9788925576633","[""판타지"", ""고딕"", ""로맨스"", ""몽환"", ""괴기""]"
498,498,좋은지 나쁜지 누가 아는가,지은이: 류시화 ;그림: 미로코 마치코,더숲,2019,9791186900789,A03810,814.62,문학 > 한국문학 > 수필,799.0,19648,13500,256.0,28.0,9.3,40.0,40.0,0.8,7.6,33.6,한국에세이,하위권,단행본, 한국문학 , 수필,"좋은지 나쁜지 누가 아는가,9791186900789","[""철학"", ""삶"", ""인생"", ""성찰"", ""인간""]"
499,499,덧니가 보고 싶어 :정세랑 장편소설,지은이: 정세랑,난다,2019,9791188862375,A03810,813.7,문학 > 한국문학 > 소설,798.0,3034,11700,228.0,36.0,8.4,20.0,20.0,0.9,5.7,69.4,한국소설,하위권,단행본, 한국문학 , 소설,"덧니가 보고 싶어 :정세랑 장편소설,9791188862375","[""성장"", ""우정"", ""가족"", ""외모"", ""사랑""]"
502,500,네 기분은 어떤 색깔이니? :최숙희 그림책,최숙희,책읽는곰,2023,9791158363925,A77810,813.7,문학 > 한국문학 > 소설,2468.0,10423,12600,40.0,12.0,9.7,40.0,40.0,0.9,3.3,29.4,그림책,하위권,단행본, 한국문학 , 소설,"네 기분은 어떤 색깔이니? :최숙희 그림책,9791158363925","[""감정"", ""색깔"", ""마음"", ""공감""]"
503,503,친구의 전설 :이지은 그림책,글·그림: 이지은,웅진씽크빅,2021,9788901251226,A74800,813.7,문학 > 한국문학 > 소설,1395.0,9218,12600,72.0,47.0,9.8,40.0,40.0,0.9,2.3000000000000003,33.3,그림책,하위권,단행본, 한국문학 , 소설,"친구의 전설 :이지은 그림책,9788901251226","[""우정"", ""용기"", ""성장"", ""모험"", ""상상""]"
504,504,잘못된 장소 잘못된 시간,질리언 매캘리스터 지음 ;이경 옮김,시옷북스,2023,9791192579818,A03840,843.6,문학 > 영미문학 > 소설,793.0,4741,16200,512.0,23.0,9.2,40.0,40.0,0.8,11.0,31.8,추리/미스터리소설,하위권,단행본, 영미문학 , 소설,"잘못된 장소 잘못된 시간,9791192579818","[""로맨스"", ""시간"", ""장소"", ""운명""]"
505,505,인생의 해상도 :단조로운 일상 속 빛나는 순간을 발견하는 감각,유병욱 지음,알에이치코리아,2024,9788925574288,A03810,818.0,문학 > 한국문학 > 르포르타주 및 기타,792.0,5444,17100,276.0,15.0,9.6,30.0,30.0,0.8,11.3,47.6,한국에세이,하위권,단행본, 한국문학 , 르포르타주 및 기타,"인생의 해상도 :단조로운 일상 속 빛나는 순간을 발견하는 감각,9788925574288","[""에세이"", ""일상"", ""순간"", ""발견"", ""감각""]"
507,505,멋진 신세계,올더스 헉슬리 지음 ;안정효 옮김,태일소담,2015,9788973814725,A03840,843.5,문학 > 영미문학 > 소설,792.0,43924,12420,400.0,147.0,9.1,40.0,20.0,0.7,14.4,28.0,과학소설(SF),하위권,단행본, 영미문학 , 소설,"멋진 신세계,9788973814725","[""디스토피아"", ""계급"", ""개인"", ""집단"", ""쾌락""]"
510,510,밤의 여행자들 :윤고은 장편소설,지은이: 윤고은,민음사,2013,9788937473036,A04810,813.7,문학 > 한국문학 > 소설,784.0,7188,12600,252.0,66.0,8.4,30.0,40.0,0.8,7.699999999999999,52.6,추리/미스터리소설,하위권,단행본, 한국문학 , 소설,"밤의 여행자들 :윤고은 장편소설,9788937473036","[""밤"", ""여행"", ""기억"", ""사랑"", ""상실""]"
511,510,착한 달걀,조리 존 글 ;김경희 옮김,길벗어린이,2022,9788955826418,A74800,843.0,문학 > 영미문학 > 소설,1337.0,3279,12600,40.0,15.0,9.4,40.0,40.0,0.9,2.2,32.2,그림책,하위권,단행본, 영미문학 , 소설,"착한 달걀,9788955826418","[""성장"", ""우정"", ""가족"", ""사랑""]"
512,510,책들의 부엌 :김지혜 장편소설,지은이: 김지혜,팩토리나인,2022,9791165345204,A03810,813.7,문학 > 한국문학 > 소설,784.0,5377,13050,296.0,102.0,8.7,40.0,40.0,0.8,5.9,25.0,한국소설,하위권,단행본, 한국문학 , 소설,"책들의 부엌 :김지혜 장편소설,9791165345204","[""요리"", ""성장"", ""우정"", ""가족"", ""치유""]"
513,513,완벽한 계란 후라이 주세요,보람 글·그림,길벗어린이,2023,9788955827071,A74810,813.7,문학 > 한국문학 > 소설,783.0,2021,13500,44.0,16.0,10.0,40.0,40.0,0.9,3.7,27.9,그림책,하위권,단행본, 한국문학 , 소설,"완벽한 계란 후라이 주세요,9788955827071","[""성장"", ""용기"", ""친구"", ""사랑""]"
514,514,나는 개다,백희나,책읽는곰,2019,9791158361365,A77810,813.7,문학 > 한국문학 > 소설,1539.0,12101,11700,48.0,35.0,9.7,40.0,40.0,0.9,3.5,36.2,그림책,하위권,시리즈, 한국문학 , 소설,"나는 개다,9791158361365","[""애완동물"", ""반려견"", ""사랑""]"
515,515,아주 무서운 날,탕무니우 글·그림 ;홍연숙 옮김,찰리북,2014,9788994368269,A77820,823.7,문학 > 중국문학 > 소설,781.0,4607,11700,40.0,6.0,9.7,40.0,40.0,0.9,2.2,29.2,초등1~2학년,하위권,단행본, 중국문학 , 소설,"아주 무서운 날,9788994368269","[""호러"", ""공포"", ""저주"", ""괴담""]"
516,516,이상한 엄마,백희나,책읽는곰,2016,9791158360214,A77810,813.7,문학 > 한국문학 > 소설,1502.0,13554,10800,40.0,48.0,9.4,30.0,40.0,0.9,3.6,45.2,그림책,하위권,단행본, 한국문학 , 소설,"이상한 엄마,9791158360214","[""성장"", ""가족"", ""관계"", ""치유""]"
517,516,일인칭 가난 :그러나 일인분은 아닌,안온 지음,마티,2023,9791190853514,A03300,818.0,문학 > 한국문학 > 르포르타주 및 기타,780.0,10829,12600,168.0,15.0,9.3,40.0,40.0,0.7,6.199999999999999,27.1,인문 에세이,하위권,단행본, 한국문학 , 르포르타주 및 기타,"일인칭 가난 :그러나 일인분은 아닌,9791190853514","[""성장"", ""꿈"", ""도전"", ""희망""]"
518,518,바다가 들리는 편의점,마치다 소노코 지음 ;황국영 옮김,오팬하우스,2023,9791192579887,A03830,833.6,문학 > 일본문학 > 소설,723.5,6304,13500,228.0,56.0,9.7,40.0,20.0,0.7,17.5,21.9,일본소설,하위권,시리즈, 일본문학 , 소설,"바다가 들리는 편의점,9791192579887","[""성장"", ""일상"", ""치유"", ""위로"", ""추억""]"
519,519,노랑무늬영원 :한강 소설집,지은이: 한강,문학과지성사,2018,9788932034836,A03810,813.62,문학 > 한국문학 > 소설,706.0,26608,12600,308.0,10.0,9.3,40.0,50.0,0.7,6.300000000000001,30.2,한국소설,하위권,단행본, 한국문학 , 소설,"노랑무늬영원 :한강 소설집,9788932034836","[""성장"", ""이별"", ""청춘"", ""사랑"", ""우정""]"
520,519,동물농장,조지 오웰 지음;도정일 옮김,민음사,1998,9788937460050,A04840,843.0,문학 > 영미문학 > 소설,1468.0,76593,7200,184.0,247.0,9.3,40.0,40.0,0.7,12.5,26.0,영미소설,하위권,시리즈, 영미문학 , 소설,"동물농장,9788937460050","[""동물"", ""농장"", ""혁명"", ""돼지"", ""폭정""]"
521,521,빛을 걷으면 빛 :성해나 소설,지은이: 성해나,문학동네,2022,9788954693615,A03810,813.7,문학 > 한국문학 > 소설,777.0,8621,13500,428.0,21.0,9.6,30.0,30.0,0.8,10.4,42.2,한국소설,하위권,단행본, 한국문학 , 소설,"빛을 걷으면 빛 :성해나 소설,9788954693615","[""성해나"", ""판타지"", ""로맨스"", ""치유"", ""성장""]"
522,522,이름 없는 여자의 여덟 가지 인생 :이미리내 장편소설,지은이: 이미리내 ;옮긴이: 정해영,위즈덤하우스,2024,9791171712335,A03840,843.6,문학 > 영미문학 > 소설,775.0,3924,16920,408.0,23.0,9.8,40.0,50.0,0.8,4.2,29.8,역사소설,하위권,단행본, 영미문학 , 소설,"이름 없는 여자의 여덟 가지 인생 :이미리내 장편소설,9791171712335","[""성장"", ""여성"", ""관계"", ""상실"", ""치유""]"
523,523,도서관 고양이,최지혜 글 ;김소라 그림,한울림,2020,9791163930334,A77810,813.7,문학 > 한국문학 > 소설,774.0,3324,15300,40.0,6.0,9.7,40.0,40.0,0.9,2.9,30.3,초등1~2학년,하위권,단행본, 한국문학 , 소설,"도서관 고양이,9791163930334","[""고양이"", ""도서관"", ""우정"", ""힐링"", ""일상""]"
